match_id,date,kickoff_time_utc,stage_id,venue_id,home_team_id,away_team_id,home_score,away_score,status,home_xg,away_xg,referee_id,player_of_the_match_id,home_team,home_ranking,home_elo,home_market_value,home_avg_player_value,home_avg_caps,home_total_caps,home_avg_height,home_total_goals,away_team,away_ranking,away_elo,away_market_value,away_avg_player_value,away_avg_caps,away_total_caps,away_avg_height,away_total_goals,stadium_name,city,country,capacity,latitude,longitude,elevation_meters,stage_name,is_knockout,result,ranking_diff,elo_diff,market_value_diff,avg_player_value_diff,avg_caps_diff,total_caps_diff,height_diff,player_goals_diff
42,2026-06-22,18:00,1,6,36,34,3.0,2.0,Completed,1.95,1.48,10,919.0,Norway,44,1775,589900000,22688461.53846154,31.423076923076923,817,187.15384615384616,124,Senegal,15,1840,478100000,18388461.53846154,39.69230769230769,1032,183.96153846153845,132,Toronto Stadium (BMO Field),Toronto,CAN,30000,43.6328,-79.4186,76,Group Stage,False,0.0,29,-65,111800000,4300000.0,-8.26923076923077,-215,3.1923076923077076,-8
43,2026-06-22,21:00,1,8,37,39,2.0,0.0,Completed,1.78,0.55,11,946.0,Argentina,1,2150,807500000,31057692.307692308,48.73076923076923,1267,179.57692307692307,226,Austria,24,1830,244600000,9407692.307692308,39.23076923076923,1020,184.96153846153845,151,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,53500,25.669,-100.2444,538,Group Stage,False,0.0,-23,320,562900000,21650000.0,9.5,247,-5.384615384615387,75
44,2026-06-22,23:59,1,10,40,38,1.0,2.0,Completed,0.88,1.92,12,984.0,Jordan,63,1610,25950000,998076.9230769231,41.5,1079,180.30769230769232,91,Algeria,28,1760,249450000,9594230.76923077,30.5,793,182.65384615384616,121,Boston Stadium (Gillette Stadium),Foxborough,USA,65878,42.0909,-71.2643,87,Group Stage,False,2.0,35,-150,-223500000,-8596153.846153846,11.0,286,-2.3461538461538396,-30
45,2026-06-23,15:00,1,12,41,43,5.0,0.0,Completed,3.54,0.42,13,1047.0,Portugal,5,2010,1005500000,38673076.92307692,45.23076923076923,1176,181.5,260,Uzbekistan,50,1650,85125000,3274038.4615384615,37.38461538461539,972,181.8846153846154,120,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,76416,39.0489,-94.4839,264,Group Stage,False,0.0,-45,360,920375000,35399038.46153846,7.846153846153847,204,-0.3846153846153868,140
46,2026-06-23,18:00,1,14,44,42,1.0,0.0,Completed,1.62,0.58,14,1120.0,Colombia,13,1990,302350000,11628846.153846154,40.73076923076923,1059,180.0,111,Congo DR,61,1670,147400000,5669230.769230769,31.0,806,181.0,81,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,69796,39.9008,-75.1675,3,Group Stage,False,0.0,-48,320,154950000,5959615.384615385,9.730769230769234,253,-1.0,30
47,2026-06-23,21:00,1,16,45,47,0.0,0.0,Completed,1.12,0.89,15,1147.0,England,4,2050,1358200000,52238461.538461536,32.80769230769231,853,184.6153846153846,153,Ghana,49,1690,233350000,8975000.0,22.5,585,182.6153846153846,69,Seattle Stadium (Lumen Field),Seattle,USA,69000,47.5952,-122.3316,3,Group Stage,False,1.0,-45,360,1124850000,43263461.538461536,10.307692307692307,268,2.0,84
48,2026-06-23,23:59,1,1,48,46,0.0,1.0,Completed,0.42,1.48,16,1181.0,Panama,34,1680,34575000,1329807.6923076923,59.84615384615385,1556,181.57692307692307,127,Croatia,11,1940,387300000,14896153.846153846,45.23076923076923,1176,184.76923076923077,155,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,80824,19.3031,-99.1506,2200,Group Stage,False,2.0,23,-260,-352725000,-13566346.153846154,14.615384615384613,380,-3.1923076923077076,-28
49,2026-06-24,18:00,1,1,4,1,0.0,3.0,Completed,1.1,1.27,1,20.0,Czechia,40,1740,188175000,7237500.0,28.384615384615383,738,185.73076923076923,99,Mexico,14,1810,191850000,7378846.153846154,47.57692307692308,1237,179.5,120,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,80824,19.3031,-99.1506,2200,Group Stage,False,2.0,26,-70,-3675000,-141346.153846154,-19.192307692307697,-499,6.230769230769226,-21
50,2026-06-24,18:00,1,7,2,3,1.0,0.0,Completed,1.26,1.39,2,38.0,South Africa,60,1620,47700000,1834615.3846153845,20.692307692307693,538,178.84615384615384,66,South Korea,22,1800,139050000,5348076.923076923,37.46153846153846,974,181.92307692307693,144,Guadalajara Stadium (Estadio Akron),Zapopan,MEX,48070,20.6811,-103.4628,1566,Group Stage,False,0.0,38,-180,-91350000,-3513461.5384615385,-16.769230769230766,-436,-3.0769230769230944,-78
51,2026-06-24,22:00,1,5,8,5,2.0,1.0,Completed,0.71,1.35,3,191.0,Switzerland,19,1860,332500000,12788461.538461538,44.15384615384615,1148,185.23076923076923,125,Canada,33,1795,196350000,7551923.076923077,37.42307692307692,973,182.30769230769232,134,Vancouver Stadium (BC Place),Vancouver,CAN,54500,49.2768,-123.112,9,Group Stage,False,0.0,-14,65,136150000,5236538.461538461,6.7307692307692335,175,2.9230769230769056,-9
52,2026-06-24,22:00,1,6,6,7,3.0,1.0,Completed,1.48,0.95,4,149.0,Bosnia and Herzegovina,64,1645,146400000,5630769.230769231,23.576923076923077,613,187.07692307692307,94,Qatar,56,1600,19925000,766346.1538461539,61.0,1586,179.3846153846154,216,Toronto Stadium (BMO Field),Toronto,CAN,30000,43.6328,-79.4186,76,Group Stage,False,0.0,8,45,126475000,4864423.076923077,-37.42307692307692,-973,7.692307692307679,-122
53,2026-06-25,18:00,1,2,12,9,0.0,3.0,Completed,0.45,2.18,5,215.0,Scotland,39,1720,128650000,4948076.923076923,38.03846153846154,989,184.46153846153845,99,Brazil,6,2030,928200000,35700000.0,35.84615384615385,932,183.1153846153846,153,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,82500,40.8136,-74.0744,7,Group Stage,False,2.0,33,-310,-799550000,-30751923.076923076,2.1923076923076934,57,1.3461538461538396,-54
54,2026-06-25,18:00,1,10,10,11,4.0,2.0,Completed,2.35,1.12,6,236.0,Morocco,7,1920,447700000,17219230.769230768,27.807692307692307,723,182.3846153846154,102,Haiti,83,1530,54850000,2109615.3846153845,24.73076923076923,643,181.57692307692307,115,Boston Stadium (Gillette Stadium),Foxborough,USA,65878,42.0909,-71.2643,87,Group Stage,False,0.0,-76,390,392850000,15109615.384615384,3.0769230769230766,80,0.8076923076923208,-13
55,2026-06-25,22:00,1,3,16,13,3.0,2.0,Completed,1.62,1.45,7,398.0,Türkiye,26,1780,473700000,18219230.769230768,38.03846153846154,989,183.76923076923077,97,USA,17,1850,362650000,13948076.923076924,37.57692307692308,977,183.3846153846154,128,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,70240,33.9535,-118.339,30,Group Stage,False,0.0,9,-70,111050000,4271153.846153844,0.4615384615384599,12,0.3846153846153868,-31
56,2026-06-25,22:00,1,15,14,15,0.0,0.0,Completed,0.55,0.48,8,339.0,Paraguay,54,1725,153150000,5890384.615384615,27.115384615384617,705,181.6153846153846,54,Australia,27,1790,80750000,3105769.230769231,28.884615384615383,751,183.57692307692307,75,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,68500,37.4033,-121.9698,8,Group Stage,False,1.0,27,-65,72400000,2784615.384615384,-1.7692307692307665,-46,-1.9615384615384528,-21
57,2026-06-26,18:00,1,9,20,17,2.0,1.0,Completed,1.28,1.55,9,514.0,Ecuador,23,1870,363750000,13990384.615384616,30.192307692307693,785,180.53846153846155,94,Germany,10,1970,947000000,36423076.92307692,33.07692307692308,860,186.19230769230768,112,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,71000,33.7553,-84.4017,318,Group Stage,False,0.0,13,-100,-583250000,-22432692.307692304,-2.884615384615387,-75,-5.653846153846132,-18
58,2026-06-26,18:00,1,11,18,19,0.0,2.0,Completed,0.32,1.68,10,487.0,Curaçao,82,1520,31400000,1207692.3076923077,24.423076923076923,635,181.92307692307693,73,Côte d'Ivoire,38,1750,523500000,20134615.384615384,27.76923076923077,722,182.92307692307693,83,Houston Stadium (NRG Stadium),Houston,USA,72220,29.6847,-95.4082,14,Group Stage,False,2.0,44,-230,-492100000,-18926923.076923076,-3.3461538461538467,-87,-1.0,-10
59,2026-06-26,22:00,1,12,24,21,1.0,3.0,Completed,0.62,2.15,11,539.0,Tunisia,45,1710,66000000,2538461.5384615385,22.923076923076923,596,184.57692307692307,44,Netherlands,8,1980,754200000,29007692.307692308,33.73076923076923,877,185.15384615384616,155,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,76416,39.0489,-94.4839,264,Group Stage,False,2.0,37,-270,-688200000,-26469230.769230768,-10.80769230769231,-281,-0.5769230769230944,-111
60,2026-06-26,22:00,1,16,22,23,1.0,1.0,Completed,1.12,0.95,12,557.0,Japan,18,1880,270850000,10417307.692307692,31.653846153846153,823,181.6153846153846,115,Sweden,25,1815,406075000,15618269.23076923,20.423076923076923,531,186.19230769230768,70,Seattle Stadium (Lumen Field),Seattle,USA,69000,47.5952,-122.3316,3,Group Stage,False,1.0,-7,65,-135225000,-5200961.538461538,11.23076923076923,292,-4.576923076923066,45
